mapping_name,code,market,official_name
海光信息,688041,SH,海光信息
寒武纪,688256,SH,寒武纪
景嘉微,300474,SZ,景嘉微
龙芯中科,688047,SH,龙芯中科
芯原股份,688521,SH,芯原股份
紫光国微,002049,SZ,紫光国微
复旦微电,688385,SH,复旦微电
安路科技,688107,SH,安路科技
中芯国际,688981,SH,中芯国际
华虹宏力,688347,SH,华虹宏力
晶合集成,688249,SH,晶合集成
芯联集成-U,688469,SH,芯联集成-U
兆易创新,603986,SH,兆易创新
君正股份,300223,SZ,君正股份
澜起科技,688008,SH,澜起科技
佰维存储,688525,SH,佰维存储
江波龙,301308,SZ,江波龙
深科技,000021,SZ,深科技
长电科技,600584,SH,长电科技
通富微电,002156,SZ,通富微电
甬矽电子,688362,SH,甬矽电子
华天科技,002185,SZ,华天科技
晶方科技,603005,SH,晶方科技
东芯股份,688110,SH,东芯股份
普冉股份,688766,SH,普冉股份
聚辰股份,688123,SH,聚辰股份
德明利,001309,SZ,德明利
香农芯创,300475,SZ,香农芯创
北方华创,002371,SZ,北方华创
中微公司,688012,SH,中微公司
拓荆科技,688072,SH,拓荆科技
盛美上海,688082,SH,盛美上海
芯源微,688037,SH,芯源微
华海清科,688120,SH,华海清科
中科飞测,688361,SH,中科飞测
先导基电,600641,SH,先导基电
沪硅产业,688126,SH,沪硅产业
立昂微,605358,SH,立昂微
南大光电,300346,SZ,南大光电
雅克科技,002409,SZ,雅克科技
鼎龙股份,300054,SZ,鼎龙股份
安集科技,688019,SH,安集科技
江丰电子,300666,SZ,江丰电子
华特气体,688268,SH,华特气体
中船特气,688146,SH,中船特气
长川科技,300604,SZ,长川科技
华峰测控,688200,SH,华峰测控
精测电子,300567,SZ,精测电子
浪潮信息,000977,SZ,浪潮信息
中科曙光,603019,SH,中科曙光
紫光股份,000938,SZ,紫光股份
工业富联,601138,SH,工业富联
神州数码,000034,SZ,神州数码
拓维信息,002261,SZ,拓维信息
高新发展,000628,SZ,高新发展
软通动力,301236,SZ,软通动力
恒为科技,603496,SH,恒为科技
中际旭创,300308,SZ,中际旭创
新易盛,300502,SZ,新易盛
天孚通信,300394,SZ,天孚通信
光迅科技,002281,SZ,光迅科技
华工科技,000988,SZ,华工科技
太辰光,300570,SZ,太辰光
源杰科技,688498,SH,源杰科技
仕佳光子,688313,SH,仕佳光子
盛科通信-U,688702,SH,盛科通信-U
锐捷网络,301165,SZ,锐捷网络
中国移动,600941,SH,中国移动
中国电信,601728,SH,中国电信
光环新网,300383,SZ,光环新网
润泽科技,300442,SZ,润泽科技
数据港,603881,SH,数据港
奥飞数据,300738,SZ,奥飞数据
优刻得-W,688158,SH,优刻得-W
云赛智联,600602,SH,云赛智联
科华数据,002335,SZ,科华数据
网宿科技,300017,SZ,网宿科技
海天瑞声,688787,SH,海天瑞声
拓尔思,300229,SZ,拓尔思
人民网,603000,SH,人民网
*ST易录,300212,SZ,*ST易录
每日互动,300766,SZ,每日互动
上海钢联,300226,SZ,上海钢联
零点有数,301169,SZ,零点有数
久远银海,002777,SZ,久远银海
华大九天,301269,SZ,华大九天
概伦电子,688206,SH,概伦电子
广立微,301095,SZ,广立微
英维克,002837,SZ,英维克
申菱环境,301018,SZ,申菱环境
欧陆通,300870,SZ,欧陆通
麦格米特,002851,SZ,麦格米特
沪电股份,002463,SZ,沪电股份
深南电路,002916,SZ,深南电路
生益科技,600183,SH,生益科技
兴森科技,002436,SZ,兴森科技
华丰科技,688629,SH,华丰科技
鼎通科技,688668,SH,鼎通科技
电连技术,300679,SZ,电连技术
意华股份,002897,SZ,意华股份
中科创达,300496,SZ,中科创达
润和软件,300339,SZ,润和软件
诚迈科技,300598,SZ,诚迈科技
科大讯飞,002230,SZ,科大讯飞
三六零,601360,SH,三六零
昆仑万维,300418,SZ,昆仑万维
云从科技-UW,688327,SH,云从科技-UW
云天励飞-U,688343,SH,云天励飞-U
格灵深瞳,688207,SH,格灵深瞳
虹软科技,688088,SH,虹软科技
当虹科技,688039,SH,当虹科技
奥比中光-W,688322,SH,奥比中光-W
青云科技-U,688316,SH,青云科技-U
首都在线,300846,SZ,首都在线
星环科技-U,688031,SH,星环科技-U
达梦数据,688692,SH,达梦数据
海量数据,603138,SH,海量数据
泛微网络,603039,SH,泛微网络
致远互联,688369,SH,致远互联
汉得信息,300170,SZ,汉得信息
奇安信-U,688561,SH,奇安信-U
启明星辰,002439,SZ,启明星辰
深信服,300454,SZ,深信服
安恒信息,688023,SH,安恒信息
天融信,002212,SZ,天融信
绿盟科技,300369,SZ,绿盟科技
永信至诚,688244,SH,永信至诚
国投智能,300188,SZ,国投智能
金山办公,688111,SH,金山办公
福昕软件,688095,SH,福昕软件
万兴科技,300624,SZ,万兴科技
用友网络,600588,SH,用友网络
中文在线,300364,SZ,中文在线
视觉中国,000681,SZ,视觉中国
德赛西威,002920,SZ,德赛西威
经纬恒润-W,688326,SH,经纬恒润-W
均胜电子,600699,SH,均胜电子
华阳集团,002906,SZ,华阳集团
四维图新,002405,SZ,四维图新
光庭信息,301221,SZ,光庭信息
万集科技,300552,SZ,万集科技
绿的谐波,688017,SH,绿的谐波
双环传动,002472,SZ,双环传动
中大力德,002896,SZ,中大力德
鸣志电器,603728,SH,鸣志电器
步科股份,688160,SH,步科股份
柯力传感,603662,SH,柯力传感
埃斯顿,002747,SZ,埃斯顿
汇川技术,300124,SZ,汇川技术
